id,source,matching,destination,type,category,status,ignore
,https://www.springcard.com/fr/products/prox-n-drive,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/prox-n-roll-oem,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/proxnroll-pcsc-hsp,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/proxnroll-rfid-scan-hsp,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/puck-base,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/puck-blue,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/puck-one,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/puck-point,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/rfid-nfc-cards,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/serial-interfaces,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/springbox-i,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/springfield-florida-tower,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/springpark,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/springpass,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/test-shopify,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/twistywriter,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/twistywriter-hsp,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/twistywriter-ip-pcsc,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/twistywriter-ip-rdr,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/usb-interfaces,exact,/produits/m519/,301,Products,active,
